workload,topology,serialization_s,first_byte_s,total_latency_s,transfer_count,max_single_transfer_serialization_s,dominant_collective,dominant_tensor
Batched B1024 Medium 16Kx32K,"Circulant {1,5,17}",256.55271314773336,2e-06,256.55271514773335,1,256.55271314773336,REDUCE_SCATTER,Matmul0:T1
Batched B1024 Medium 16Kx32K,Torus 4x4x4,586.4062014805334,3e-06,586.4062044805333,1,586.4062014805334,REDUCE_SCATTER,Matmul0:T1
Batched B1024 Medium 16Kx32K,Mesh 4x4x4,781.8749353073778,4.5e-06,781.8749398073778,1,781.8749353073778,REDUCE_SCATTER,Matmul0:T1
Batched B1024 Medium 16Kx32K,Ring 64,769.6581394432,1.6e-05,769.6581554431999,1,769.6581394432,REDUCE_SCATTER,Matmul0:T1
Batched B1024 Medium 8Kx32K,"Circulant {1,5,17}",128.27635657386668,2e-06,128.27635857386667,1,128.27635657386668,REDUCE_SCATTER,Matmul0:T1
Batched B1024 Medium 8Kx32K,Torus 4x4x4,293.2031007402667,3e-06,293.20310374026667,1,293.2031007402667,REDUCE_SCATTER,Matmul0:T1
Batched B1024 Medium 8Kx32K,Mesh 4x4x4,390.9374676536889,4.5e-06,390.9374721536889,1,390.9374676536889,REDUCE_SCATTER,Matmul0:T1
Batched B1024 Medium 8Kx32K,Ring 64,384.8290697216,1.6e-05,384.8290857216,1,384.8290697216,REDUCE_SCATTER,Matmul0:T1
Batched B1024 Rect 64Kx128K,"Circulant {1,5,17}",4104.843410363734,2e-06,4104.8434123637335,1,4104.843410363734,REDUCE_SCATTER,Matmul0:T1
Batched B1024 Rect 64Kx128K,Torus 4x4x4,9382.499223688534,3e-06,9382.499226688533,1,9382.499223688534,REDUCE_SCATTER,Matmul0:T1
Batched B1024 Rect 64Kx128K,Mesh 4x4x4,12509.998964918044,4.5e-06,12509.998969418044,1,12509.998964918044,REDUCE_SCATTER,Matmul0:T1
Batched B1024 Rect 64Kx128K,Ring 64,12314.5302310912,1.6e-05,12314.5302470912,1,12314.5302310912,REDUCE_SCATTER,Matmul0:T1
Batched B1024 Small 2Kx8K,"Circulant {1,5,17}",40.56358001777778,6e-06,40.56358601777778,3,24.433591728355555,BROADCAST,Matmul0:T0
Batched B1024 Small 2Kx8K,Torus 4x4x4,61.17942303857778,9e-06,61.17943203857778,3,36.650387592533335,ALLREDUCE,Matmul0:T1
Batched B1024 Small 2Kx8K,Mesh 4x4x4,122.45428979484444,1.35e-05,122.45430329484446,3,73.30077518506667,BROADCAST,Matmul0:T0
Batched B1024 Small 2Kx8K,Ring 64,72.63266916124444,4.8e-05,72.63271716124444,3,48.1036337152,ALLREDUCE,Matmul0:T1
Batched B1024 Small 4Kx16K,"Circulant {1,5,17}",32.06908914346667,2e-06,32.06909114346667,1,32.06908914346667,REDUCE_SCATTER,Matmul0:T1
Batched B1024 Small 4Kx16K,Torus 4x4x4,73.30077518506667,3e-06,73.30077818506668,1,73.30077518506667,REDUCE_SCATTER,Matmul0:T1
Batched B1024 Small 4Kx16K,Mesh 4x4x4,97.73436691342222,4.5e-06,97.73437141342222,1,97.73436691342222,REDUCE_SCATTER,Matmul0:T1
Batched B1024 Small 4Kx16K,Ring 64,96.2072674304,1.6e-05,96.2072834304,1,96.2072674304,REDUCE_SCATTER,Matmul0:T1
Batched B1024 VeryWide 2Kx256K,"Circulant {1,5,17}",256.55271314773336,2e-06,256.55271514773335,1,256.55271314773336,REDUCE_SCATTER,Matmul0:T1
Batched B1024 VeryWide 2Kx256K,Torus 4x4x4,586.4062014805334,3e-06,586.4062044805333,1,586.4062014805334,REDUCE_SCATTER,Matmul0:T1
Batched B1024 VeryWide 2Kx256K,Mesh 4x4x4,781.8749353073778,4.5e-06,781.8749398073778,1,781.8749353073778,REDUCE_SCATTER,Matmul0:T1
