workload,topology,serialization_s,first_byte_s,total_latency_s,transfer_count,max_single_transfer_serialization_s,dominant_collective,dominant_tensor
Medium 16Kx32K,"Circulant {1,5,17}",0.25053975893333336,2e-06,0.25054175893333336,1,0.25053975893333336,REDUCE_SCATTER,Matmul0:T1
Medium 16Kx32K,Torus 4x4x4,0.5726623061333334,3e-06,0.5726653061333333,1,0.5726623061333334,REDUCE_SCATTER,Matmul0:T1
Medium 16Kx32K,Mesh 4x4x4,0.7635497415111111,4.5e-06,0.7635542415111111,1,0.7635497415111111,REDUCE_SCATTER,Matmul0:T1
Medium 16Kx32K,Ring 64,0.7516192768,1.6e-05,0.7516352768,1,0.7516192768,REDUCE_SCATTER,Matmul0:T1
Medium 8Kx32K,"Circulant {1,5,17}",0.12526987946666668,2e-06,0.12527187946666668,1,0.12526987946666668,REDUCE_SCATTER,Matmul0:T1
Medium 8Kx32K,Torus 4x4x4,0.2863311530666667,3e-06,0.28633415306666665,1,0.2863311530666667,REDUCE_SCATTER,Matmul0:T1
Medium 8Kx32K,Mesh 4x4x4,0.38177487075555555,4.5e-06,0.38177937075555557,1,0.38177487075555555,REDUCE_SCATTER,Matmul0:T1
Medium 8Kx32K,Ring 64,0.3758096384,1.6e-05,0.3758256384,1,0.3758096384,REDUCE_SCATTER,Matmul0:T1
Rect 64Kx128K,"Circulant {1,5,17}",8.017272285866667,2e-06,8.017274285866668,1,8.017272285866667,ALLREDUCE,Matmul0:T1
Rect 64Kx128K,Torus 4x4x4,18.325193796266667,3e-06,18.325196796266667,1,18.325193796266667,ALLREDUCE,Matmul0:T1
Rect 64Kx128K,Mesh 4x4x4,24.433591728355555,4.5e-06,24.433596228355555,1,24.433591728355555,ALLREDUCE,Matmul0:T1
Rect 64Kx128K,Ring 64,24.0518168576,1.6e-05,24.051832857599997,1,24.0518168576,ALLREDUCE,Matmul0:T1
Small 2Kx8K,"Circulant {1,5,17}",0.007829367466666667,2e-06,0.007831367466666668,1,0.007829367466666667,REDUCE_SCATTER,Matmul0:T1
Small 2Kx8K,Torus 4x4x4,0.017895697066666667,3e-06,0.017898697066666667,1,0.017895697066666667,REDUCE_SCATTER,Matmul0:T1
Small 2Kx8K,Mesh 4x4x4,0.023860929422222222,4.5e-06,0.023865429422222223,1,0.023860929422222222,REDUCE_SCATTER,Matmul0:T1
Small 2Kx8K,Ring 64,0.0234881024,1.6e-05,0.023504102399999997,1,0.0234881024,REDUCE_SCATTER,Matmul0:T1
Small 4Kx16K,"Circulant {1,5,17}",0.03131746986666667,2e-06,0.03131946986666667,1,0.03131746986666667,REDUCE_SCATTER,Matmul0:T1
Small 4Kx16K,Torus 4x4x4,0.07158278826666667,3e-06,0.07158578826666667,1,0.07158278826666667,REDUCE_SCATTER,Matmul0:T1
Small 4Kx16K,Mesh 4x4x4,0.09544371768888889,4.5e-06,0.09544821768888889,1,0.09544371768888889,REDUCE_SCATTER,Matmul0:T1
Small 4Kx16K,Ring 64,0.0939524096,1.6e-05,0.0939684096,1,0.0939524096,REDUCE_SCATTER,Matmul0:T1
VeryWide 2Kx256K,"Circulant {1,5,17}",0.25053975893333336,2e-06,0.25054175893333336,1,0.25053975893333336,REDUCE_SCATTER,Matmul0:T1
VeryWide 2Kx256K,Torus 4x4x4,0.5726623061333334,3e-06,0.5726653061333333,1,0.5726623061333334,REDUCE_SCATTER,Matmul0:T1
VeryWide 2Kx256K,Mesh 4x4x4,0.7635497415111111,4.5e-06,0.7635542415111111,1,0.7635497415111111,REDUCE_SCATTER,Matmul0:T1
VeryWide 2Kx256K,Ring 64,0.7516192768,1.6e-05,0.7516352768,1,0.7516192768,REDUCE_SCATTER,Matmul0:T1
Wide 8Kx256K,"Circulant {1,5,17}",2.004318071466667,2e-06,2.0043200714666667,1,2.004318071466667,ALLREDUCE,Matmul0:T1
Wide 8Kx256K,Torus 4x4x4,4.581298449066667,3e-06,4.581301449066667,1,4.581298449066667,ALLREDUCE,Matmul0:T1
Wide 8Kx256K,Mesh 4x4x4,6.108397932088889,4.5e-06,6.108402432088889,1,6.108397932088889,ALLREDUCE,Matmul0:T1
Wide 8Kx256K,Ring 64,6.0129542144,1.6e-05,6.012970214399999,1,6.0129542144,ALLREDUCE,Matmul0:T1
