map_chips,batch_size,m_size,kn_size,topology,total_latency,serialization_latency,first_byte_latency,total_energy,total_network_bytes,max_link_load,transfer_count,feedback_converged,feedback_iteration_count
64,1,2048,8192,"Circulant {1,5,17}",0.016876422755555554,0.016870422755555555,6e-06,1.8940805775360001,805306368.0,536870912.0,3,True,2
64,1,2048,8192,Torus 4x4x4,0.019396005155555555,0.019387005155555557,9e-06,2.589865279488,805306368.0,536870912.0,3,True,2
64,1,2048,8192,Mesh 4x4x4,0.05071797502222222,0.05070447502222222,1.35e-05,5.179730558976,805306368.0,1610612736.0,3,True,2
64,1,2048,8192,Ring 64,0.020833106488888888,0.02078510648888889,4.8e-05,1.8940805775360001,805306368.0,536870912.0,3,True,2
64,1,4096,16384,"Circulant {1,5,17}",0.003916683733333334,0.003914683733333334,2e-06,1.082331758592,536870912.0,176160768.0,1,True,2
64,1,4096,16384,Torus 4x4x4,0.008950848533333333,0.008947848533333334,3e-06,2.473901162496,536870912.0,402653184.0,1,True,2
64,1,4096,16384,Mesh 4x4x4,0.01193496471111111,0.011930464711111111,4.5e-06,4.947802324992,536870912.0,536870912.0,1,True,2
64,1,4096,16384,Ring 64,0.0117600512,0.0117440512,1.6e-05,1.082331758592,536870912.0,528482304.0,1,True,2
64,16,2048,8192,"Circulant {1,5,17}",0.003916683733333334,0.003914683733333334,2e-06,1.082331758592,536870912.0,176160768.0,1,True,2
64,16,2048,8192,Torus 4x4x4,0.008950848533333333,0.008947848533333334,3e-06,2.473901162496,536870912.0,402653184.0,1,True,2
64,16,2048,8192,Mesh 4x4x4,0.01193496471111111,0.011930464711111111,4.5e-06,4.947802324992,536870912.0,536870912.0,1,True,2
64,16,2048,8192,Ring 64,0.0117600512,0.0117440512,1.6e-05,1.082331758592,536870912.0,528482304.0,1,True,2
64,16,4096,16384,"Circulant {1,5,17}",0.06263693973333334,0.06263493973333334,2e-06,17.317308137472,8589934592.0,2818572288.0,1,True,2
64,16,4096,16384,Torus 4x4x4,0.14316857653333334,0.14316557653333334,3e-06,39.582418599936,8589934592.0,6442450944.0,1,True,2
64,16,4096,16384,Mesh 4x4x4,0.19089193537777777,0.19088743537777778,4.5e-06,79.164837199872,8589934592.0,8589934592.0,1,True,2
64,16,4096,16384,Ring 64,0.18792081919999998,0.1879048192,1.6e-05,17.317308137472,8589934592.0,8455716864.0,1,True,2
64,256,2048,8192,"Circulant {1,5,17}",1.2765657240888888,1.2765597240888888,6e-06,208.890029408256,69256347648.0,34359738368.0,3,True,2
64,256,2048,8192,Torus 4x4x4,1.920813818488889,1.9208048184888888,9e-06,387.010913107968,69256347648.0,51539607552.0,3,True,2
64,256,2048,8192,Mesh 4x4x4,3.853553601688889,3.853540101688889,1.35e-05,774.021826215936,69256347648.0,103079215104.0,3,True,2
64,256,2048,8192,Ring 64,2.278766759822222,2.278718759822222,4.8e-05,208.890029408256,69256347648.0,67645734912.0,3,True,2
64,256,4096,16384,"Circulant {1,5,17}",1.0021610357333335,1.0021590357333334,2e-06,277.076930199552,137438953472.0,45097156608.0,1,True,2
64,256,4096,16384,Torus 4x4x4,2.2906522245333334,2.2906492245333334,3e-06,633.318697598976,137438953472.0,103079215104.0,1,True,2
64,256,4096,16384,Mesh 4x4x4,3.0542034660444446,3.0541989660444444,4.5e-06,1266.637395197952,137438953472.0,137438953472.0,1,True,2
64,256,4096,16384,Ring 64,3.0064931072,3.0064771072,1.6e-05,277.076930199552,137438953472.0,135291469824.0,1,True,2
