map_chips,batch_size,n_size,k_size,topology,total_latency,serialization_latency,first_byte_latency,total_energy,total_network_bytes,max_link_load,transfer_count,dominant_collective,dominant_tensor
64,1,4096,2048,"Circulant {1,5,17}",0.00024666773333333335,0.00024466773333333336,2e-06,0.067645734912,33554432.0,11010048.0,1,ALLGATHER,Matmul0:W0
64,1,4096,2048,Torus 4x4x4,0.0005622405333333333,0.0005592405333333334,3e-06,0.154618822656,33554432.0,25165824.0,1,ALLGATHER,Matmul0:W0
64,1,4096,2048,Mesh 4x4x4,0.0007501540444444444,0.0007456540444444444,4.5e-06,0.309237645312,33554432.0,33554432.0,1,ALLGATHER,Matmul0:W0
64,1,4096,2048,Ring 64,0.0007500031999999999,0.0007340032,1.6e-05,0.067645734912,33554432.0,33030144.0,1,ALLGATHER,Matmul0:W0
64,1,4096,4096,"Circulant {1,5,17}",0.007928574222222222,0.007922574222222221,6e-06,1.082331758592,402653184.0,134217728.0,3,BROADCAST,Matmul0:T0
64,1,4096,4096,Torus 4x4x4,0.010448156622222222,0.010439156622222223,9e-06,1.778116460544,402653184.0,201326592.0,3,ALLREDUCE,Matmul0:T1
64,1,4096,4096,Mesh 4x4x4,0.02387442942222222,0.023860929422222222,1.35e-05,3.556232921088,402653184.0,402653184.0,3,BROADCAST,Matmul0:T0
64,1,4096,4096,Ring 64,0.011885257955555555,0.011837257955555555,4.8e-05,1.082331758592,402653184.0,264241152.0,3,ALLREDUCE,Matmul0:T1
64,1,16384,2048,"Circulant {1,5,17}",0.00024666773333333335,0.00024466773333333336,2e-06,0.067645734912,33554432.0,11010048.0,1,ALLGATHER,Matmul0:W0
64,1,16384,2048,Torus 4x4x4,0.0005622405333333333,0.0005592405333333334,3e-06,0.154618822656,33554432.0,25165824.0,1,ALLGATHER,Matmul0:W0
64,1,16384,2048,Mesh 4x4x4,0.0007501540444444444,0.0007456540444444444,4.5e-06,0.309237645312,33554432.0,33554432.0,1,ALLGATHER,Matmul0:W0
64,1,16384,2048,Ring 64,0.0007500031999999999,0.0007340032,1.6e-05,0.067645734912,33554432.0,33030144.0,1,ALLGATHER,Matmul0:W0
